HIP,GLon,GLat,Lc,sptype,B-V,VMag,Lum,Cst,Name
33636,255.3334601,-17.59984397,giants,K,1.226,0.84,71.03,Pup,
33640,218.6446546,-0.71615076,main-sequence,B,-0.034,1.76,22.14,Mon,
33642,249.8833265,-15.48551047,main-sequence,G,0.619,4.32,1.79,Pup,
33643,174.4469175,19.24714424,giants,A,0.121,0.25,66.8,Aur,
33644,207.2993248,5.07672344,giants,B,-0.106,-0.94,381.91,Mon,HR 2613
33650,190.3097272,13.13873273,giants,B,-0.111,-1.34,591.07,Gem,40 Geminorum
33658,254.4299974,-17.20539748,main-sequence,G,0.731,5.09,0.89,Pup,
33659,263.4434098,-20.30825379,main-sequence,F,0.563,2.69,7.46,Car,
33666,233.1861905,-7.94492566,giants,B,-0.164,-1.64,1177.5,CMa,HR 2623
33669,244.1201465,-12.99007037,subgiants,A,0.203,0.23,67.15,Pup,
33671,240.6142611,-11.42198033,main-sequence,F,0.533,4.35,1.68,CMa,
33675,295.9383275,-26.72838758,giants,G,1.04,1.13,44.64,Men,
33681,259.5923591,-19.00236101,main-sequence,G,0.587,4.18,1.9,Pup,
33682,278.6037162,-24.22148012,giants,K,1.396,0.42,133.28,Vol,Gliese 3422
33683,251.2745387,-15.93370792,subgiants,K,1.183,1.75,29.37,Pup,
33685,227.2797708,-4.96527728,main-sequence,F,0.404,3.23,4.5,CMa,
33689,210.262363,3.75251323,subgiants,G,1.079,1.16,44.95,Mon,
33690,271.6557659,-22.59191793,main-sequence,G,0.786,5.49,0.64,Car,Gliese 260
33691,242.0544899,-11.99506078,main-sequence,G,0.737,5.59,0.58,CMa,
33692,240.9875196,-11.51425584,giants,K,1.488,0.04,226.29,CMa,
33694,137.5518002,26.85942473,giants,K,1.365,0.8,89.67,Cam,HR 2527
33697,253.1077713,-16.60100715,giants,G,0.958,1.27,35.92,Pup,
33705,241.9848624,-11.93630255,main-sequence,F,0.438,3.76,2.65,CMa,
33710,213.8602477,1.99425186,subgiants,F,0.376,1.96,14.09,Mon,
33713,231.6182941,-7.02359276,giants,K,1.029,1.09,45.3,CMa,
33717,271.1717066,-22.43094624,main-sequence,A,-0.048,1.17,39.76,Car,
33719,218.7176094,-0.48081963,main-sequence,G,0.572,3.98,2.28,Mon,HR 2622
33725,253.7271618,-16.77992199,giants,K,1.197,1.16,51.04,Pup,
33728,259.2557782,-18.7894003,giants,G,0.882,0.2,90.91,Pup,
33729,221.4325928,-1.84872694,giants,B,-0.075,-1.59,578.91,Mon,
33733,276.4803673,-23.70104937,main-sequence,G,0.597,4.01,2.23,Vol,
33736,251.6867864,-15.96517402,subgiants,K,0.899,5.86,0.5,Pup,
33737,291.4369363,-26.25275884,main-sequence,K,0.908,6.27,0.35,Men,
33740,268.6261173,-21.7003319,main-sequence,A,0.1,1.15,29.5,Car,
33744,251.9829643,-16.06251628,main-sequence,F,0.283,2.25,10.45,Pup,
33748,202.5706886,7.76987151,main-sequence,A,0.199,0.24,66.42,Gem,
33760,239.5823154,-10.71183948,main-sequence,F,0.449,2.1,12.84,CMa,HR 2637
33761,271.477988,-22.45553352,main-sequence,B,0.03,0.68,49.19,Car,
33766,282.3621927,-24.87341939,main-sequence,F,0.529,3.27,4.58,Vol,
33774,244.2103508,-12.76970099,giants,G,1.052,1.03,49.33,Pup,HR 2641
33781,231.3613351,-6.73495132,main-sequence,B,-0.001,-0.36,141.06,CMa,
33784,235.9376844,-8.94996761,subgiants,A,0.205,1.93,14.06,CMa,
33788,283.6255217,-25.08431913,main-sequence,F,0.412,2.83,6.56,Vol,
33792,262.1854404,-19.67379033,subgiants,F,0.368,2.3,10.02,Car,
33799,233.6608643,-7.80815621,main-sequence,G,0.534,4.39,1.6,CMa,
33800,269.2103952,-21.79485547,giants,A,0.297,2.34,9.93,Car,HR 2661
33802,276.2828446,-23.58979498,main-sequence,F,0.464,3.54,3.46,Vol,
33803,251.1695855,-15.63678673,main-sequence,A,-0.024,1.14,37.66,Pup,
33804,236.6189604,-9.22597282,giants,B,-0.165,-1.81,1369.89,CMa,
33807,267.4157503,-21.27468281,subgiants,F,0.458,1.74,17.08,Car,
33810,203.4888616,7.47038126,main-sequence,A,0.107,-0.21,103.15,Mon,
33812,241.635514,-11.53893768,subgiants,A,0.288,1.44,21.98,CMa,
33813,284.7057707,-25.25214972,giants,K,1.157,0.12,127.81,Vol,
33817,237.3012856,-9.51777009,main-sequence,K,0.882,5.88,0.49,CMa,Gliese 259
33819,214.0416053,2.18774546,main-sequence,F,0.449,3.03,5.21,Mon,
33823,184.295501,16.06295758,main-sequence,A,0.27,0.84,38.2,Gem,HR 2620
33825,260.6325429,-19.10483611,giants,B,-0.052,-0.53,198.24,Pup,
33827,144.425018,26.31461837,giants,K,1.337,-0.27,228.04,Cam,HR 2581
33830,286.9633311,-25.6010028,giants,K,1.384,2.75,15.27,Men,
33839,247.7397617,-14.14224466,main-sequence,G,0.626,5.21,0.75,Pup,
33848,207.9022344,5.40105768,main-sequence,K,0.863,5.9,0.47,Mon,
33852,168.4407651,21.54113945,main-sequence,K,0.986,6.47,0.31,Lyn,Gliese 257.1 (Lalande 13427)
33860,281.4858378,-24.62413817,giants,G,0.875,0.86,48.94,Vol,
33863,266.8610441,-21.01914698,main-sequence,F,0.551,3.17,4.68,Car,
33867,238.9635033,-10.15691097,main-sequence,G,0.5,3.04,5.28,CMa,
33869,223.7988569,-2.66307225,giants,G,0.733,1.32,28.88,Mon,
33873,215.321122,1.70894488,giants,K,1.286,-0.01,168.47,Mon,HR 2636
33875,209.1666442,4.85650933,subgiants,B,-0.028,-1.39,389.69,Mon,HR 2633
33879,250.8538815,-15.33424503,main-sequence,G,0.684,4,2.37,Pup,
33881,229.8574576,-5.69977545,main-sequence,A,0.05,0.43,60.41,CMa,
33883,237.8828189,-9.60551636,main-sequence,B,-0.03,1.65,23.54,CMa,
33886,267.8742926,-21.28326268,giants,G,0.898,1.11,39.78,Car,
33887,267.5818832,-21.19556917,giants,F,0.434,0.72,43.46,Car,
33889,222.9402806,-2.1542672,subgiants,A,0.266,2.79,6.36,Mon,
33892,260.6423229,-18.9709334,main-sequence,B,-0.039,1.15,38.85,Pup,
33893,191.0181862,13.48687974,giants,A,0.14,1.14,29.27,Gem,
33894,219.5077308,-0.37683113,giants,K,1.487,0.68,125.76,Mon,
33902,265.6781963,-20.59976045,giants,K,1.092,1.14,46.74,Car,
33904,226.9453376,-4.16409149,subgiants,A,0.245,2.48,8.44,CMa,
33909,253.766031,-16.42783949,main-sequence,A,-0.039,0.79,53.76,Pup,HR 2658
33912,252.0413197,-15.7439688,main-sequence,F,0.54,4.17,1.89,Pup,
33914,200.3749025,9.27832309,giants,K,1.14,-0.53,228.06,Gem,HR 2632
33918,226.9784168,-4.15356024,main-sequence,B,0.02,2.33,10.99,CMa,
33922,253.0279952,-16.1223211,main-sequence,B,-0.138,-0.3,263.73,Pup,
33927,192.1816548,13.0549404,giants,G,0.953,-3.06,1946.9,Gem,42 Omega Geminorum
33930,248.6702826,-14.32291947,main-sequence,F,0.353,1.34,24.55,Pup,
33934,211.0711867,4.04951831,main-sequence,F,0.375,2.37,9.44,Mon,
33941,199.8271994,9.62688993,main-sequence,G,0.557,3.76,2.76,Gem,
33948,225.950004,-3.53054713,subgiants,B,-0.028,0.79,52.02,CMa,
33952,128.9312573,27.26296039,giants,G,0.878,2.4,11.95,Cam,
33954,170.9796859,20.9903523,subgiants,A,0.079,0.64,48.29,Lyn,
33955,220.2649334,-0.60176366,main-sequence,K,1.078,7.05,0.2,Mon,Gliese 1094
33957,260.1817465,-18.70139752,giants,A,0.055,-0.89,203.82,Pup,
33961,229.1039816,-5.08872262,giants,K,1.147,1.01,55.36,CMa,
33969,256.0865782,-17.19587299,subgiants,A,0.09,1.5,21.58,Pup,
33970,236.2240417,-8.58073603,main-sequence,B,-0.068,0.03,123.61,CMa,
33971,218.0122838,0.61387188,main-sequence,B,-0.195,-2.85,4816.54,Mon,19 Monocerotis
33973,226.0022091,-3.4903927,main-sequence,F,0.531,3.71,2.88,CMa,
33984,250.9032242,-15.11882595,giants,A,0.28,2.49,8.33,Pup,
33988,211.3889108,4.06966906,main-sequence,B,-0.034,1.48,28.46,Mon,
33990,281.4862725,-24.5047505,main-sequence,A,0.068,0.9,38.44,Vol,
33993,277.5911711,-23.67068895,main-sequence,F,0.473,2.08,12.65,Vol,
33994,255.4023157,-16.87334128,main-sequence,F,0.397,3.03,5.38,Pup,
33997,201.3875454,9.04898897,giants,A,0.264,0.64,45.93,Gem,
33998,224.1834748,-2.47269292,subgiants,A,0.01,1.5,24.19,Mon,
34000,269.5424151,-21.59768796,subgiants,B,-0.125,-0.39,265.92,Car,
34002,206.104039,6.76938918,main-sequence,A,0.126,0.93,35.82,Mon,HR 2647
34003,219.3889002,0.01402596,subgiants,K,0.814,3.92,2.81,Mon,
34006,262.7035837,-19.45442009,subgiants,B,-0.109,-1.83,865.85,Car,
34011,247.943842,-13.80323106,main-sequence,G,0.678,4.27,1.8,Pup,
34015,266.2549826,-20.58488145,giants,K,1.19,-0.11,164.95,Car,
34017,187.4355215,15.3227235,main-sequence,G,0.595,4.52,1.4,Gem,Gliese 262 (Lalande 13576)
34020,289.5290399,-25.85673661,main-sequence,F,0.563,1.68,19.84,Men,
34021,191.4640109,13.64595416,giants,G,0.968,0.98,47.32,Gem,
34028,250.5678406,-14.87665191,giants,K,0.781,2.13,14.18,Pup,
34031,244.0066649,-12.03812188,main-sequence,F,0.549,2.52,8.62,CMa,
34033,204.5034576,7.64924461,giants,K,1.391,-1.15,568,Gem,HR 2649
34035,283.0631224,-24.77349747,subgiants,F,0.433,2.48,8.58,Vol,
34045,228.2518292,-4.40618159,giants,B,-0.112,-1.55,715.56,CMa,23 Gamma Canis Majoris (Muliphein)
34052,254.0315557,-16.22207529,main-sequence,K,1.18,7.52,0.14,Pup,Gliese 264
34053,251.7713168,-15.31834377,giants,K,1.088,0.47,85.83,Pup,
34059,259.9088599,-18.41047421,main-sequence,A,0.14,1.01,33.04,Pup,H Puppis (HR 2672)
34060,260.9751611,-18.78296833,giants,K,1.392,-0.25,246.94,Pup,
34065,254.0850168,-16.21991438,main-sequence,G,0.624,4.47,1.49,Pup,Gliese 9223 A
34069,254.0901053,-16.21668624,main-sequence,K,0.779,5.99,0.4,Pup,Gliese 264.1 B
34070,169.9320321,21.52682777,main-sequence,F,0.45,2.62,8.3,Lyn,
34071,247.1950048,-13.36022041,giants,K,0.827,3.83,3.06,Pup,
34077,212.6769695,3.66744936,main-sequence,F,0.581,1.65,20.65,Mon,
34083,180.7233634,18.02954443,giants,G,0.84,0.68,56.74,Aur,
34084,294.1309359,-26.41980023,subgiants,F,0.432,2.74,6.77,Men,
34085,139.5285171,26.96286917,main-sequence,F,0.594,4.39,1.57,Cam,
34086,219.110528,0.37678038,giants,G,1.29,-2.22,1303.69,Mon,HR 2655
34087,139.5253216,26.96493607,main-sequence,G,0.75,5.58,0.58,Cam,
34088,195.746482,11.90311985,supergiants,G,0.899,-4.07,4707.18,Gem,43 Zeta Geminorum (Mekbuda)
34089,171.9712978,20.94904438,subgiants,F,0.378,1.49,21.2,Lyn,
34090,248.207955,-13.76913875,giants,G,0.942,1.72,23.7,Pup,
34092,275.0891029,-22.97248954,main-sequence,A,0.075,0.83,40.66,Vol,
34095,209.729196,5.20155461,main-sequence,G,0.806,5.85,0.47,Mon,
34099,233.3569384,-6.84188114,main-sequence,B,-0.009,-0.24,126.93,CMa,
34101,139.3246049,26.98830773,giants,G,0.943,0.05,109.6,Cam,
34106,210.8109662,4.6976897,giants,G,1.014,0.97,50.18,Mon,
34107,213.0766864,3.5482906,main-sequence,A,0.01,-0.24,119.68,Mon,HR 2654
34108,242.0301784,-10.96921285,main-sequence,B,-0.074,1.3,40.58,CMa,
34109,250.5844992,-14.7250757,main-sequence,F,0.517,1.97,14.12,Pup,
34110,217.1196866,1.47681411,main-sequence,G,0.697,4.51,1.5,Mon,
34112,210.3260477,4.95709413,main-sequence,B,-0.03,0.85,49.14,Mon,
34113,254.240562,-16.19111201,main-sequence,B,-0.009,1.44,26.78,Pup,
34125,269.2386237,-21.3337092,main-sequence,A,0.016,1.31,28.93,Car,
34127,243.1922776,-11.44260486,giants,B,-0.036,0.31,84.29,CMa,
34132,293.455668,-26.32125654,main-sequence,A,0.123,2.32,9.91,Men,
34134,254.1090623,-16.09126069,giants,K,1.148,1.46,36.54,Pup,
34137,251.1473772,-14.88759483,giants,K,1.273,-0.85,359.06,Pup,
34138,243.1477244,-11.38815343,main-sequence,F,0.458,2.69,7.49,CMa,
34142,234.1055347,-7.06713995,giants,K,1.225,0.97,63.05,CMa,HR 2664
34146,228.9505163,-4.4734029,main-sequence,F,0.468,4.04,2.22,CMa,
34147,260.2003553,-18.35268303,main-sequence,G,0.705,4.38,1.69,Pup,
34155,244.6054503,-11.99680054,giants,K,1.021,2.52,12.16,Pup,
34160,186.5831569,16.01315833,giants,G,0.904,1.42,30.06,Gem,
34164,213.2410008,3.6699745,main-sequence,G,0.618,3.81,2.73,Mon,
34166,233.614614,-6.741757,giants,K,1.013,1.06,46.42,CMa,
34177,260.7567915,-18.47462234,giants,K,1.424,-1.01,527.2,Pup,HR 2687
34179,245.2344628,-12.20776812,main-sequence,F,0.509,2.35,9.92,Pup,
34182,193.9382502,13.01364418,giants,B,-0.027,0.56,64.65,Gem,44 Geminorum
34186,269.8472585,-21.40289649,giants,K,0.97,2.09,17.24,Car,
34192,249.0735575,-13.86451517,main-sequence,A,0.027,1.45,24.72,Pup,
34194,271.9206184,-21.98089504,giants,K,1.025,0.81,58.52,Car,
34200,245.8468507,-12.42477351,main-sequence,F,0.353,2.51,8.22,Pup,HR 2677
34201,251.3624642,-14.79984657,giants,G,0.909,1.4,30.62,Pup,
34208,259.2795553,-17.88850924,main-sequence,G,1,3.67,4.14,Pup,
34209,261.787832,-18.78499652,main-sequence,F,0.488,3.3,4.1,Car,
34212,282.3184336,-24.46726365,main-sequence,F,0.536,3.9,2.5,Vol,
34214,211.0262194,4.95566236,main-sequence,F,0.49,3.63,3.25,Mon,
34215,206.3216686,7.31008473,giants,M,1.513,-1.6,1100.36,Mon,HR 2663
34216,248.5260098,-13.57312096,main-sequence,A,0.068,1.31,26.37,Pup,
34217,164.0725758,23.35432696,subgiants,A,0.102,1.2,28.34,Lyn,
34222,189.4130716,15.03854577,main-sequence,M,1.34,8.24,0.09,Gem,Gliese 265 A
34223,247.6747179,-13.19101,main-sequence,G,0.886,2.12,15.56,Pup,
34235,130.1125931,27.34625751,main-sequence,G,0.679,5.05,0.9,Cam,
34238,144.5586533,26.67384261,giants,K,1.568,-1.14,850.5,Cam,HR 2617
34239,215.4883574,2.74648272,main-sequence,F,0.517,2.98,5.77,Mon,
34241,200.9017369,10.00235554,giants,K,0.996,0.22,98.81,Gem,
34246,253.0017603,-15.38904521,main-sequence,A,-0.018,1.45,27.48,Pup,
34248,242.0760723,-10.59441559,main-sequence,B,-0.131,-0.66,368.84,CMa,
34250,156.5636297,24.99673476,giants,G,1.19,1.03,57.45,Lyn,HR 2642
34252,252.9926471,-15.37101994,main-sequence,F,0.45,2.52,8.7,Pup,
34253,249.2657742,-13.81067385,giants,G,0.702,-0.45,145.36,Pup,HR 2685
34254,250.667546,-14.40653382,main-sequence,G,0.692,3.58,3.51,Pup,
34266,191.9338468,14.10217092,giants,K,1.47,-0.97,557.7,Gem,
34267,182.6919113,17.77669406,giants,G,0.909,0.72,57.41,Gem,HR 2660
34270,279.7329228,-23.85966483,giants,K,1.039,0.43,84.23,Vol,HR 2712
34271,193.9896726,13.2377059,main-sequence,G,0.702,5.12,0.87,Gem,
34275,248.657816,-13.4821495,main-sequence,B,-0.02,0.25,82.95,Pup,
34276,254.2586983,-15.8203771,main-sequence,A,-0.008,1.47,26.09,Pup,
34280,285.6896854,-25.05939118,main-sequence,G,0.754,4.07,2.34,Vol,
34282,246.1743027,-12.36265434,main-sequence,G,0.673,3.81,2.8,Pup,
34288,268.2506739,-20.76708425,subgiants,A,0.233,1.64,18.33,Car,
34289,264.3421821,-19.50732072,giants,K,1.047,1.63,28.23,Car,
34291,270.5158131,-21.4420709,main-sequence,A,0.068,1.39,24.47,Car,
34293,258.7642661,-17.52412068,main-sequence,F,0.511,4.09,2,Pup,
34298,272.021897,-21.86716922,main-sequence,F,0.501,3.98,2.21,Car,
34303,241.5449434,-10.16986415,subgiants,B,-0.01,1.13,35.63,CMa,
34305,255.4297518,-16.20830235,main-sequence,F,0.373,3.1,5.11,Pup,
34307,261.7755457,-18.58398719,giants,G,1.047,1.68,27.05,Car,
34308,277.8201938,-23.36103562,giants,G,0.943,0.68,61.43,Vol,
34318,236.9670814,-7.93889876,giants,K,1.341,-1.12,507.74,CMa,HR 2686
34322,255.6844687,-16.27649219,main-sequence,F,0.434,3.16,4.8,Pup,
34334,266.2462086,-20.05658737,main-sequence,G,0.695,5.06,0.9,Car,
34335,237.7276343,-8.26670931,giants,K,1.451,0.25,174.74,CMa,
34338,210.3314556,5.7169397,giants,B,-0.129,-0.43,275.89,Mon,HR 2676
34339,251.7243517,-14.62653376,main-sequence,B,-0.158,-1.08,639.65,Pup,D Puppis (HR 2691)
34341,211.6469342,5.06586,main-sequence,M,1.27,7.75,0.13,Mon,Gliese 266
34342,241.1615452,-9.88877716,giants,M,1.58,0.46,210.64,CMa,
34349,262.4595896,-18.7495803,giants,K,0.996,-0.15,137.98,Car,HR 2698
34350,270.2581973,-21.27094659,giants,B,-0.113,-1.37,607.76,Car,
34353,245.6872199,-11.95258086,main-sequence,G,0.522,4.3,1.66,Pup,
34357,223.623653,-1.04364058,subgiants,A,0.081,-0.94,205.48,Mon,
34358,183.2395266,17.83644355,giants,K,1.507,-0.57,415.08,Gem,HR 2665
34361,233.8599378,-6.27093017,main-sequence,M,1.44,9.92,0.02,CMa,Gliese 2055
34367,188.8920305,15.66177478,subgiants,B,-0.081,-0.79,294.28,Gem,HR 2669
34370,262.7072626,-18.7967696,giants,K,1.389,-0.3,253.39,Car,
34373,254.5888791,-15.71879876,main-sequence,A,0.174,2.23,10.64,Pup,
34374,297.3783904,-26.66915698,subgiants,A,0.211,2.22,10.74,Men,
34377,254.7066831,-15.74238266,main-sequence,A,0.21,2.14,11.52,Pup,
34381,287.5062008,-25.29703603,giants,K,1.386,-0.3,253.85,Men,
34387,208.1101167,7.02673027,giants,K,1.176,-0.55,241.87,CMi,HR 2682
34388,247.0114053,-12.43078175,giants,K,1.259,0.98,64.83,Pup,
34396,246.1050457,-12.00982805,main-sequence,G,0.606,4.04,2.2,Pup,
34403,176.0680033,20.41980562,subgiants,F,0.352,2.76,6.83,Aur,
34407,200.8018027,10.60343643,main-sequence,G,0.56,4.46,1.55,Gem,
34409,239.6198221,-8.93958411,main-sequence,G,0.605,4.58,1.34,CMa,
34410,262.495427,-18.62784232,main-sequence,F,0.509,3.2,4.7,Car,
34414,187.3551773,16.4298446,main-sequence,K,0.907,6.58,0.28,Gem,Gliese 3428
34417,267.8700961,-20.42197206,main-sequence,F,0.358,3.03,5.1,Car,
34423,223.6992679,-0.86217788,main-sequence,K,0.952,6.58,0.27,Mon,Gliese 267
34424,242.9887708,-10.50522161,subgiants,F,0.47,2.03,13.21,CMa,
34426,200.8295048,10.6426913,main-sequence,F,0.53,4.4,1.73,Gem,
34432,244.788616,-11.31954189,subgiants,A,0.236,2.02,12.89,Pup,
34440,200.4704319,10.85460996,giants,G,1.02,0.5,78.42,Gem,45 Geminorum
34442,260.6867101,-17.91834576,main-sequence,F,0.543,1.54,20.82,Pup,
34444,238.4174726,-8.26655214,supergiants,F,0.671,-6.54,38979.08,CMa,25 Delta Canis Majoris (Wezen)
34447,268.9398631,-20.71030702,subgiants,A,0.095,0.86,38.72,Car,
34449,286.7064339,-25.10632988,giants,K,1.116,1.17,46.47,Men,
34457,240.4513315,-9.20948439,subgiants,F,0.577,2.67,7.64,CMa,
34460,214.47985,4.02517123,subgiants,A,0.124,1.38,23.73,Mon,
34461,247.4527361,-12.45767397,main-sequence,A,0.291,2.35,10.03,Pup,
34462,179.9379832,19.27571688,giants,K,1.212,-1.12,426.72,Aur,HR 2675
34463,211.160378,5.72007967,giants,M,1.596,-0.78,688.77,CMi,
34469,241.7235213,-9.79687035,main-sequence,G,0.6,3.58,3.36,CMa,
34475,249.1542962,-13.18417277,main-sequence,F,0.563,3.46,3.67,Pup,
34481,281.5557396,-24.0422456,giants,G,1.006,0.59,70.3,Vol,Gamma-2 Volantis (HR 2736)
34487,190.4967811,15.34643406,main-sequence,F,0.455,2.69,7.17,Gem,
34488,262.734418,-18.5846273,giants,K,1.241,0.83,73.31,Car,
34495,250.6921032,-13.82664666,subgiants,B,-0.179,-2.05,1880.75,Pup,A Puppis (HR 2702)
34506,256.0974102,-16.04996602,main-sequence,B,-0.067,-0.11,140.71,Pup,
34508,221.9960771,0.26239507,main-sequence,A,0.337,3.02,5.15,Mon,
34510,269.6946864,-20.85854743,main-sequence,G,0.685,4.21,1.96,Car,
34514,173.0812706,21.54885207,giants,A,0.333,2.07,12.31,Aur,
34517,271.2115327,-21.31263054,giants,F,0.353,1.49,21.16,Car,
34518,212.9404317,4.96281552,giants,K,1.314,0.07,162.47,CMi,
34532,191.8451586,14.91191334,main-sequence,A,0.301,2.34,9.63,Gem,
34533,262.4379642,-18.39510796,subgiants,F,0.515,2.44,9.14,Car,
34543,271.0243101,-21.21871462,giants,G,0.821,0.09,95.86,Car,
34544,260.4921416,-17.66661788,giants,K,0.974,1.76,23.4,Pup,
34554,291.214058,-25.81026843,subgiants,A,0.166,0.13,74.39,Men,
34555,247.3214296,-12.19483733,giants,F,0.432,1.37,23.85,Pup,
34559,220.3734375,1.25007942,subgiants,A,0.236,0.8,39.77,Mon,
34567,191.4257879,15.15250387,main-sequence,G,0.7,5.09,0.92,Gem,
34572,155.581236,25.62281161,giants,K,1.087,0.91,57.23,Lyn,17 Lyncis
34577,274.5602219,-22.20673667,main-sequence,G,0.91,3.74,3.6,Car,
34582,191.4336186,15.18497099,subgiants,F,0.338,2.04,12.69,Gem,
34586,266.9848652,-19.88821801,giants,F,0.385,2.06,12.56,Car,
34589,229.4597719,-3.37279097,main-sequence,A,0.312,2.75,6.61,CMa,
34601,240.7150631,-8.9836452,main-sequence,B,-0.174,-1.34,981.66,CMa,
34608,195.709662,13.46013662,main-sequence,G,0.88,3.13,6.15,Gem,Lalande 13849 (HR 2692)
34609,268.4034866,-20.30803239,main-sequence,G,0.656,5.1,0.84,Car,
34610,156.3675956,25.55494566,main-sequence,F,0.417,2.96,5.78,Lyn,
34617,231.6753402,-4.43371702,main-sequence,F,0.419,3.11,4.78,CMa,
34618,269.6422274,-20.69509007,giants,K,0.971,2.41,12.82,Car,
34621,232.1386392,-4.6570681,main-sequence,A,0.287,2.28,10.18,CMa,
34622,218.8486782,2.23467971,giants,K,1.02,0.94,52.05,Mon,20 Monocerotis
34624,239.6052788,-8.36689315,giants,G,0.998,-1.2,364.93,CMa,HR 2708
34629,214.8619677,4.33457807,main-sequence,F,0.443,3.54,3.25,Mon,
34631,266.2295715,-19.54813892,giants,G,0.947,0.5,72.64,Car,
34632,241.9434782,-9.48001037,main-sequence,A,0.223,1.53,20.18,CMa,
34633,213.6348677,4.97610669,main-sequence,G,0.609,3.97,2.33,CMi,
34635,248.5407026,-12.53793094,giants,K,1.115,0.29,104.47,Pup,
34636,288.6026511,-25.32801988,main-sequence,F,0.551,3.56,3.33,Men,
34644,233.1320842,-5.08552572,main-sequence,A,0.212,0.3,62.65,CMa,
34654,256.4542768,-15.87706331,main-sequence,A,0.15,0.96,34.51,Pup,
34659,252.3522026,-14.16402589,main-sequence,A,0.116,1.72,17.33,Pup,
34670,259.6981538,-17.12563614,giants,K,1.251,0.19,134.28,Pup,Gliese 3434
34674,269.535742,-20.56990472,giants,K,0.978,1.66,25.62,Car,
34679,277.2119255,-22.7851012,main-sequence,F,0.538,3.45,3.65,Vol,
34683,277.9891112,-22.98209415,giants,K,1.225,-0.03,158.33,Vol,
34686,278.9274568,-23.21618251,giants,K,1.322,-0.17,206.12,Vol,
34688,218.6415226,2.57325424,giants,K,1.158,-0.08,153.36,Mon,
34693,187.2185484,17.19909732,giants,K,1.261,-0.55,269.89,Gem,46 Tau Geminorum
34696,212.3354653,5.84788875,giants,K,0.966,0.31,87.95,CMi,
34697,238.263284,-7.48305426,main-sequence,G,0.697,3.97,2.46,CMa,
34701,250.5249518,-13.24617743,main-sequence,B,-0.049,1.03,44.95,Pup,
34705,201.32749,11.23250505,giants,F,0.398,1.59,19.36,Gem,
34706,281.2095872,-23.74310342,giants,K,1.005,0.81,57.51,Vol,
34710,225.8936833,-1.13457951,main-sequence,G,0.671,3.19,5,CMa,
34715,284.0131954,-24.36921158,giants,G,0.982,1.19,39.74,Vol,
34717,272.5809969,-21.43995037,main-sequence,F,0.383,2.58,8.1,Car,
34721,250.3785659,-13.15463772,main-sequence,A,0.141,1.9,14.6,Pup,
34722,190.5110526,15.962765,subgiants,A,0.13,0.37,59.59,Gem,47 Geminorum
34724,215.4806174,4.30084123,subgiants,F,0.31,0.74,41.95,Mon,21 Monocerotis
34733,187.0262795,17.35218126,subgiants,F,0.397,2.08,12.28,Gem,
34735,190.9534243,15.81180369,giants,K,1.064,-0.31,172.61,Gem,
34739,260.224495,-17.19787218,main-sequence,G,0.705,5.29,0.76,Pup,
34744,291.8378829,-25.81272041,main-sequence,A,0.297,2.88,5.85,Men,
34745,186.1559944,17.71446414,main-sequence,A,0.114,1.66,18.44,Gem,
34747,247.1773902,-11.65401831,main-sequence,G,0.722,4.25,1.85,Pup,
34748,287.7116709,-25.09416323,main-sequence,G,0.74,4.77,1.21,Men,
34752,178.268179,20.46251178,giants,K,1.451,-0.95,524.66,Aur,63 Aurigae
34753,296.773352,-26.50715661,main-sequence,B,0.006,0.97,40.32,Men,
34755,262.059301,-17.86433948,main-sequence,F,0.475,3.31,4.05,Car,
34756,249.7403652,-12.80438163,main-sequence,A,0.198,2.59,7.66,Pup,
34757,241.8422466,-9.12066084,main-sequence,F,0.686,0.91,40.9,CMa,
34758,233.8032348,-5.11443873,giants,B,-0.038,0.07,105,CMa,HR 2716
34761,251.4293534,-13.53782218,main-sequence,F,0.44,5,0.85,Pup,
34767,205.8024613,9.26683089,main-sequence,F,0.548,3.63,3.25,CMi,
34768,210.1986716,7.10747769,main-sequence,B,-0.016,-0.05,109.23,CMi,HR 2710
34769,215.7047948,4.31802391,subgiants,A,-0.005,-1.2,307.16,Mon,22 Delta Monocerotis
34776,266.8730612,-19.54031423,giants,K,0.966,1.34,34.24,Car,
34778,173.6778393,21.92650874,main-sequence,A,0.022,0.74,47.85,Aur,
34780,274.003015,-21.77392381,subgiants,A,-0.011,0.2,87.14,Car,
34782,242.8009887,-9.49269943,giants,A,0.273,2.72,6.79,CMa,HR 2720
34785,237.4370195,-6.8522155,main-sequence,M,1.33,8.25,0.09,CMa,Gliese 2056
34786,239.6398046,-7.94585968,main-sequence,B,-0.142,-0.86,480.23,CMa,
34789,210.39129,7.08609129,giants,K,1.142,-0.25,177.09,CMi,HR 2713
34792,270.5890074,-20.72358313,subgiants,B,-0.03,-0.18,126.92,Car,
34794,232.7284581,-4.4358252,main-sequence,A,0.213,1.83,15.38,CMa,
34796,164.8512115,24.19890749,main-sequence,M,1.47,9.11,0.05,Lyn,Gliese 3432
34798,238.3950377,-7.30001727,subgiants,B,-0.17,-1.11,722.1,CMa,26 Canis Majoris
34801,249.5858431,-12.61373993,main-sequence,G,0.604,3.68,3.07,Pup,
34803,260.0389202,-16.99562185,main-sequence,F,0.404,1.46,21.87,Pup,
