HIP,Longitudine galactică,Latitudine galactică,Nume,Constelație,Tipul Spectral,Clasă de luminozitate,Index B-V(culoare),Magnitudine absolută(VMag),Luminozitate(Lum),Magnitudine aparentă (Vmag),Temperatură efectivă,Radius
8493,184.6638273,-74.39474878,,Cetus,G,main-sequence,0.722,5.05,0.93,9.54,5577,0.996
8507,184.5370495,-74.30731449,,Cetus,G,main-sequence,0.658,5.13,0.83,8.89,5722.3,0.944
8060,182.807517,-75.7725634,,Cetus,F,main-sequence,0.564,4.3,1.69,8.43,6072.2,1.14
7982,182.0639957,-75.93902197,,Cetus,G,sub-giants,0.832,0.96,43.45,8.09,5179,8.932
7937,181.255014,-75.93570809,,Cetus,F,main-sequence,0.416,2.56,8.24,7.72,6601.8,2.786
7718,175.2292854,-75.53621693,,Cetus,F,sub-giants,0.309,2.39,9.19,7.63,7339.3,1.245
7961,177.3062049,-75.08321375,,Cetus,G,main-sequence,0.617,4.06,2.16,7.45,5674.5,1.539
7749,174.7830902,-75.29897911,,Cetus,K,giants,1.108,1.37,38.11,7.38,4732,9.066
7934,175.1191131,-74.65670771,,Cetus,G,main-sequence,0.64,4.42,1.57,8.93,5610.4,1.643
9025,186.6057764,-72.84156468,,Cetus,F,main-sequence,0.409,2.61,7.55,8.78,6776,1.964
8460,182.842285,-74.16533686,,Cetus,F,main-sequence,0.412,2.66,7.58,8.23,6724.6,2.031
8442,182.4219642,-74.15348744,,Cetus,G,main-sequence,1.2,2.87,10.69,8.34,5198,2.967
9123,184.7271443,-72.07555578,,Cetus,F,main-sequence,0.488,3.29,4.15,9.07,6299,1.541
9479,183.6523095,-70.56450372,,Cetus,K,giants,1.368,1.14,65.58,7.71,4346,18.568
8999,182.5967365,-72.11017733,,Cetus,F,sub-giants,0.438,3.26,4.19,9.06,6652,1.817
8778,180.418788,-72.51500365,,Cetus,F,sub-giants,0.26,0.92,35.47,5.78,7311,3.949
8318,179.0114919,-73.90568346,,Cetus,A,main-sequence,0.167,0.78,40.65,7.37,8021,2.818
8647,179.2285062,-72.65628129,,Cetus,F,main-sequence,0.541,3.12,4.96,8.5,6268,1.709
8674,178.24876,-72.34824722,,Cetus,G,sub-giants,0.693,5.37,0.68,8.96,5567.1,0.892
8881,178.1471424,-71.47107861,,Cetus,K,main-sequence,0.887,6.38,0.31,9.15,4978,0.764
8666,175.4225497,-71.58172589,,Cetus,F,main-sequence,0.515,1.93,14.72,8.6,6336,2.192
10555,195.0101925,-69.03821993,,Cetus,F,main-sequence,0.453,2.24,10.85,8.69,6590,2.075
10312,190.4812099,-68.99090748,Gliese 88,Cetus,K,main-sequence,1.455,8.97,0.06,11.088,3825,0.526
10878,193.4984354,-67.66883493,,Cetus,F,main-sequence,0.442,3.1,4.88,9.02,6638,1.284
11033,193.3046296,-67.05996891,HR 693,Cetus,K,giants,1.231,0.24,124.99,5.89,4561,15.635
10998,191.6401404,-66.79559348,,Cetus,F,sub-giants,0.482,4.48,1.39,9.52,6537,1.46
10803,190.259489,-67.2242212,,Cetus,F,main-sequence,0.439,3.63,2.97,9.11,6640,1.37
10720,190.1204089,-67.47972069,,Cetus,F,main-sequence,0.469,3.12,4.82,9.06,6598,1.959
11057,190.8254319,-66.4440611,,Cetus,K,giants,1.154,0.77,70.04,7.32,4795,12.144
10007,189.5136543,-69.88112847,,Cetus,G,main-sequence,0.566,3.97,2.3,9,6233,1.47
10063,187.5872657,-69.28540316,,Cetus,F,main-sequence,0.333,2.46,8.58,8.01,7235,1.771
9939,186.6967219,-69.52760608,,Cetus,F,main-sequence,0.495,4.1,1.97,8.92,6447,1.373
10026,186.6668025,-69.20971,,Cetus,F,main-sequence,0.441,3.08,5.17,8.67,6483,1.999
10076,185.6701536,-68.80547952,,Cetus,K,giants,1.004,1.22,39.57,7.65,4860,9.875
10010,185.1409295,-68.87602393,,Cetus,F,main-sequence,0.425,3.37,4.09,8.02,6565,1.794
10637,188.6967099,-67.4437887,,Cetus,F,main-sequence,0.419,4.11,1.9,9.28,6496,1.167
10502,187.6232764,-67.62701049,,Cetus,G,main-sequence,0.645,3.36,4.18,9.17,6039,1.607
10511,187.4461249,-67.55544439,,Cetus,A,sub-giants,0.119,1.76,16.81,7.98,8935,1.991
10545,187.3875494,-67.43781799,,Cetus,G,main-sequence,0.593,4.74,1.14,8.77,5985,1.085
10348,184.3844673,-67.37349137,,Cetus,F,main-sequence,0.365,2.33,10.19,7.65,6910.6,2.157
11374,192.5545906,-65.68988634,,Cetus,F,main-sequence,0.517,3.54,3.32,9.3,6400,1.345
11192,190.8499687,-65.93277111,,Cetus,A,main-sequence,0.311,2.7,6.89,6.68,7077.3,1.602
10990,189.0486965,-66.19381496,,Cetus,G,main-sequence,0.684,3.08,5.56,8.13,5754,2.328
11348,189.5301354,-65.07725669,,Cetus,A,main-sequence,0.116,1.45,22.19,5.88,8319,2.365
11783,191.1195038,-63.77730992,76 Sigma Ceti,Cetus,F,main-sequence,0.454,2.61,7.7,4.74,6330.7,2.92
11759,191.0683848,-63.87055192,,Cetus,K,main-sequence,0.935,6.44,0.3,8.67,4911,0.719
11681,190.1600917,-63.91984091,,Cetus,F,main-sequence,0.62,4.46,1.5,10.09,6460,1.477
11948,190.5130699,-63.02824788,,Cetus,F,main-sequence,0.458,3.31,4.02,8.62,6522,1.646
12146,191.2459947,-62.54764435,,Cetus,K,giants,1.034,0.67,67.29,6.91,4892,11.377
11881,189.7756041,-63.07339783,,Cetus,G,main-sequence,0.76,2.82,7.42,7.83,5306,3.047
11404,188.1345081,-64.42063842,,Cetus,F,main-sequence,0.382,3.03,5.15,9.02,6880,2.935
11501,188.0156345,-63.99578292,,Cetus,G,main-sequence,0.684,3.95,2.49,8.73,5660,1.656
10931,187.7386406,-66.0964076,,Cetus,G,main-sequence,0.574,4.24,1.8,9.07,6180.4,1.192
11025,187.4219112,-65.66422672,,Cetus,F,main-sequence,0.501,4.3,1.65,8.98,6380,1.344
10991,186.7350998,-65.57079918,,Cetus,G,main-sequence,0.62,4.78,1.12,9.61,5890,0.935
11013,186.0992345,-65.33507511,,Cetus,F,main-sequence,0.372,2.66,7.63,7.32,6887.5,1.737
10889,185.7931158,-65.74941569,,Cetus,A,main-sequence,0.308,2.06,12.48,8.07,7147,2.079
11107,185.448231,-64.80831501,,Cetus,F,main-sequence,0.545,4.14,1.95,9.72,5932.2,1.374
11367,186.8153612,-64.18603403,,Cetus,G,main-sequence,0.546,4.72,1.14,9.45,6450,1.169
11446,186.8069394,-63.81885514,,Cetus,F,main-sequence,0.372,3.67,2.84,9.4,6748.9,2.004
11654,186.934722,-63.08036021,,Cetus,F,main-sequence,0.458,4.89,0.94,9.63,6189,1.26
11614,186.6934144,-63.1556862,,Cetus,F,main-sequence,0.546,3.3,4.2,8.55,6110,2.198
11592,185.9596773,-63.0412618,,Cetus,K,giants,1.058,0.3,96.67,7.132,4800,17.79
11056,184.7606841,-64.79139942,,Cetus,G,main-sequence,0.394,5.38,0.59,10.45,5242.5,1.251
11225,185.0798976,-64.23682008,,Cetus,F,giants,0.445,1.71,17.57,7.66,6501,3.861
11345,183.7466039,-63.34880814,72 Rho Ceti,Cetus,A,sub-giants,-0.027,-0.85,234.86,4.887,9817,6.275
9692,184.1102585,-69.86875708,,Cetus,F,main-sequence,0.566,4.21,1.83,8.66,5972,1.231
9678,183.874545,-69.86030748,,Cetus,F,main-sequence,0.461,3.08,5.23,7.5,6469.8,1.763
9496,183.7494972,-70.51766424,,Cetus,G,main-sequence,0.545,5.12,0.79,9.79,6110,1.026
9716,182.825045,-69.44714047,Gliese 3133,Cetus,G,main-sequence,0.832,5.75,0.52,7.79,5300.8,0.847
9819,182.8525295,-69.04841685,,Cetus,K,giants,1.394,0.06,184.76,6.96,4298,24.774
9572,181.1362987,-69.60407164,HR 608,Cetus,K,super-giants,0.966,0.67,63.24,5.87,4955,13.314
10185,184.3659338,-68.07708966,,Cetus,A,main-sequence,0.08,1.88,15.3,8.19,9034,1.643
10194,183.8880119,-67.90858519,,Cetus,A,sub-giants,0.079,1.21,28.7,6.74,8994,2.11
9925,183.2114261,-68.70893003,,Cetus,A,main-sequence,0.303,2.77,6.45,8.69,7183,1.837
10095,182.9927881,-68.04739972,,Cetus,K,giants,1.031,0.88,55.47,7.7,4866,10.651
9637,179.6652413,-68.90735276,,Cetus,G,main-sequence,0.605,4,2.28,9.39,5931.3,1.918
9837,180.8149879,-68.39885004,,Cetus,G,main-sequence,0.612,3.44,3.84,8.06,5842,1.838
9830,179.6224924,-68.05696292,,Cetus,F,main-sequence,0.348,3.43,3.54,8.94,6744,1.769
10072,181.8137047,-67.76070399,Gliese 3139,Cetus,M,main-sequence,1.517,10.31,0.02,11.764,3492,0.479
9216,179.4125592,-70.51692326,,Cetus,G,main-sequence,0.679,5.46,0.61,9.18,5655,0.854
9277,179.0576095,-70.18936582,,Cetus,K,giants,1.064,0.91,55.92,7.32,4845,11.64
9056,175.7521414,-70.03160188,,Cetus,G,main-sequence,0.643,5.3,0.74,9.67,5748,0.712
8954,174.9580631,-70.21484804,,Cetus,F,main-sequence,0.471,2.49,8.61,8.73,6434,1.662
9300,176.4788466,-69.31150506,,Cetus,M,giants,1.578,-0.56,517.55,6.864,3526,89.622
9681,178.592119,-68.36472212,,Cetus,F,main-sequence,0.548,2.97,5.73,8.41,6151,1.918
9349,176.0693101,-68.98813624,,Cetus,G,main-sequence,0.66,4.84,1.07,7.99,5810.2,0.95
9404,175.0601852,-68.39956463,,Cetus,G,giants,0.746,5.6,0.57,8.76,5389.8,0.871
9653,175.4519599,-67.42335201,,Cetus,F,main-sequence,0.4,2.82,6.25,8.71,6626,1.695
11094,183.3235529,-64.15294376,,Cetus,G,main-sequence,0.602,4.29,1.74,9.14,5928,1.253
10850,182.4478846,-64.85140645,,Cetus,F,main-sequence,0.552,2.61,8.14,8.85,6214.2,2.518
10970,181.998529,-64.19738034,,Cetus,G,main-sequence,0.555,4.59,1.39,9.3,5879,1.208
11006,181.6790088,-63.92235283,,Cetus,F,main-sequence,0.412,3.67,2.85,8.97,6979,1.593
10484,179.5101217,-65.24362888,,Cetus,A,main-sequence,0.12,1.74,16.97,7.8,8487,1.843
10928,180.7506405,-63.92211315,,Cetus,K,giants,0.932,1.74,23.01,7.89,5112,7.648
10971,180.5395483,-63.64833355,,Cetus,F,main-sequence,0.43,3.22,4.36,8.42,6610,2.001
10383,175.5053019,-64.18000273,,Cetus,G,main-sequence,0.642,2.75,7.36,8.62,5944,2.423
14117,203.3394424,-58.68281736,,Eridanus,F,main-sequence,0.336,2.18,11.64,7.54,7041.8,2.11
14165,203.3695205,-58.53815136,Gliese 9108,Eridanus,M,main-sequence,1.501,10.33,0.02,11.78,3505,0.454
14460,202.8677082,-57.39290999,,Eridanus,F,main-sequence,0.409,2.65,7.73,8.45,6679,2.156
14073,201.4906779,-58.45107238,,Eridanus,G,main-sequence,0.578,3.45,3.73,8.22,6206.5,1.548
14380,201.1997131,-57.28220446,,Eridanus,F,sub-giants,0.435,0.69,44.78,7.34,6615,3.382
13419,198.7219006,-60.04725127,,Eridanus,F,main-sequence,0.398,3.43,3.71,8.01,6788.5,1.486
13551,199.3932905,-59.74386519,,Eridanus,G,main-sequence,0.736,4.04,2.36,9.38,5573.4,2.026
14157,198.3959821,-57.34952047,,Eridanus,K,main-sequence,0.86,4.94,1.1,8.45,5303,1.215
13831,198.4349216,-58.57297286,,Eridanus,F,main-sequence,0.529,3.34,4,7.93,6377,1.413
14899,201.5182294,-55.58303167,,Eridanus,K,giants,1.025,1.66,26.98,7.92,4855,8.641
14814,201.2877727,-55.78396674,HR 957,Eridanus,K,giants,1.167,0.18,121.61,6.25,4597,19.753
14941,201.4591836,-55.47209918,,Eridanus,F,main-sequence,0.46,3.56,3.2,8.68,6443,1.61
14648,200.9200655,-56.21027929,,Eridanus,G,main-sequence,0.679,4.85,1.08,8.97,5804,0.997
14849,199.6300493,-55.20037837,,Eridanus,K,giants,1.004,1.51,30.16,7.75,4960,10.777
15199,200.1928398,-54.25294913,,Eridanus,G,main-sequence,0.614,4.42,1.58,7.85,5903.6,1.138
15431,200.8644673,-53.64155784,,Eridanus,F,main-sequence,0.313,2.6,7.99,8.86,7093,1.436
15085,200.0094876,-54.55923814,,Eridanus,F,main-sequence,0.5,3.94,2.3,9.16,6338,1.185
15373,199.156112,-53.31108047,,Eridanus,A,main-sequence,0.243,2.85,6.01,8.27,7806,1.45
15127,198.5629748,-53.99087975,,Eridanus,K,giants,0.987,0.34,87.19,7.36,4968,11.938
14762,198.6113637,-55.21598091,,Eridanus,A,main-sequence,0.098,2.25,10.79,8.27,8949,2.055
14351,197.4853676,-56.40579259,,Eridanus,G,sub-giants,0.76,1.74,20.06,8.1,5140,4.63
14250,197.4769122,-56.7521692,,Eridanus,G,main-sequence,0.677,4.72,1.21,9.27,5689,0.996
14177,197.0200135,-56.88626327,,Eridanus,G,main-sequence,0.584,4.93,0.96,9.23,5922,1.027
14501,196.9323819,-55.62826865,Gliese 3200,Eridanus,G,main-sequence,0.645,4.52,1.48,6.971,5747,1.218
14832,197.4106562,-54.61622041,,Eridanus,F,main-sequence,0.441,2.91,6.03,7.69,6682,1.425
14783,197.3512279,-54.7771755,,Eridanus,F,main-sequence,0.49,3.81,2.58,9.32,6450,1.25
15148,197.3403731,-53.55897277,,Eridanus,K,giants,1.119,1.37,38.66,7.76,4768,11.079
14663,196.7274414,-54.97492471,,Eridanus,F,main-sequence,0.44,3.26,4.23,9.08,6630,1.839
14797,196.9310975,-54.58410284,,Eridanus,F,main-sequence,0.614,-1.15,261.54,6.362,6276,12.918
14464,196.1188802,-55.54779572,,Eridanus,F,main-sequence,0.488,3.93,2.3,8.09,6394,1.439
14808,196.3599573,-54.3674208,,Eridanus,G,main-sequence,0.641,4.46,1.52,9.61,5893,1.275
13184,198.0639246,-60.71931677,,Eridanus,K,main-sequence,1.062,6.67,0.28,10.84,4695,0.843
13002,195.2377245,-60.68766659,,Eridanus,F,sub-giants,0.5,2.32,10.19,8.1,6988,1.816
13279,195.3334935,-59.68396781,,Eridanus,K,main-sequence,1.065,7.13,0.18,11.22,4703,0.837
13660,194.382069,-58.02222861,,Eridanus,K,giants,1.044,1.92,21.6,8.07,4954,8.022
12562,192.3747019,-61.45422609,HR 796,Cetus,F,main-sequence,0.429,2.61,7.92,5.982,6475,2.148
12460,191.9012687,-61.63728169,,Cetus,A,giants,0.261,0.51,51.69,6.71,7375,3.803
12381,191.3351553,-61.7713446,,Cetus,F,main-sequence,0.511,3.73,2.86,7.98,6215,1.507
13970,195.2506226,-57.16394183,,Eridanus,K,giants,1.098,0.59,77.38,7.06,4837,10.729
14153,195.5584302,-56.55102298,,Eridanus,G,sub-giants,0.96,1.6,26.86,7.8,5017,6.904
13724,193.8307707,-57.60723893,,Eridanus,G,main-sequence,0.751,4,2.49,8.21,5543,1.641
14136,194.1041219,-56.14179415,,Eridanus,F,main-sequence,0.535,3.32,4.11,8.84,6402,1.5
13857,193.5063267,-57.04318921,,Eridanus,F,main-sequence,0.324,2.55,8.25,8.3,6839,2.011
14563,194.4570593,-54.63560024,,Eridanus,G,main-sequence,0.722,2.68,8.04,8.11,5531,2.564
14645,194.2613588,-54.21585241,,Eridanus,F,main-sequence,0.524,3.01,5.46,8.74,6237,1.896
14155,193.823668,-55.98893279,,Eridanus,K,giants,1.177,2.46,15.02,8.98,4578,18.781
14330,193.9629538,-55.37408286,,Eridanus,F,main-sequence,0.456,3.52,3.32,8.59,6417,1.488
14411,192.9779249,-54.72365083,,Eridanus,G,sub-giants,0.76,4.76,1.25,9.48,5455,0.91
13402,192.0720312,-58.25461543,Gliese 117,Eridanus,K,main-sequence,0.862,5.97,0.44,6.05,5224.8,0.773
13843,192.2127723,-56.67378139,,Eridanus,K,giants,1.031,0.71,65.12,6.52,4870,10.896
13527,189.8422151,-57.00158505,,Eridanus,A,main-sequence,0.083,0.86,39.29,7.81,9101,2.328
14006,191.8664678,-55.94725025,,Eridanus,K,giants,1.008,0.59,70.43,7.36,5039,14.083
14235,191.8838465,-55.02139597,,Eridanus,F,main-sequence,0.495,3.58,3.18,7.105,6386,1.524
13896,190.7718586,-55.96110833,,Eridanus,G,main-sequence,0.58,4.77,1.1,9.16,5914,1.026
13919,190.7068781,-55.82402475,,Eridanus,F,main-sequence,0.52,4.24,1.75,9.09,6207,1.295
13740,189.4266013,-56.05766437,,Eridanus,A,sub-giants,0.314,2.69,7.33,8.13,7077,1.883
13933,190.5144858,-55.69197622,,Eridanus,K,giants,1.075,0.88,58.27,7.77,4890,10.788
14050,189.8944504,-55.0523879,,Eridanus,G,main-sequence,0.729,2.98,6.24,7.78,5640,2.105
15786,200.67688,-52.35344481,,Eridanus,G,main-sequence,0.777,2.9,6.99,7.8,5578,2.967
15676,197.6746205,-51.8077422,,Eridanus,F,main-sequence,0.4,3.55,3.41,8.34,6643.4,1.452
16153,199.4027649,-50.67196035,,Eridanus,K,giants,1.254,0.19,133.82,7.371,4467,23.431
16263,199.5471001,-50.32340406,HR 1062,Eridanus,A,sub-giants,0.171,0.03,80.81,5.595,7975,5.219
16501,199.072801,-49.37948085,,Eridanus,F,main-sequence,0.429,2.72,6.88,8.52,6871,1.772
16234,198.6620185,-50.13536229,,Eridanus,F,main-sequence,0.408,2.99,5.63,8.8,6767,1.549
16308,198.2437315,-49.70723631,,Eridanus,G,giants,0.732,2.45,10.21,6.776,5594,3.383
15916,197.7793716,-51.00950288,,Eridanus,G,main-sequence,0.583,3.57,3.33,9.31,6216,2.197
16242,198.1253576,-49.91397923,Gliese 143.1,Eridanus,M,main-sequence,1.403,8.23,0.1,9.95,3983,0.673
16142,197.3515909,-50.00766423,HR 1050,Eridanus,K,super-giants,1.102,0.8,64.69,5.721,4727.5,10.751
15121,196.8699156,-53.48817241,,Eridanus,G,main-sequence,0.577,4.35,1.63,9.83,5969.3,1.324
15342,196.2024605,-52.46051754,,Eridanus,F,main-sequence,0.55,4.7,1.16,9.54,6124.4,1.313
15050,196.0152773,-53.48773957,,Eridanus,G,sub-giants,0.78,4.28,1.96,9.56,5505,1.746
15483,195.9120942,-51.86745196,,Eridanus,K,giants,0.995,1.4,33.04,7.89,4879,9.415
15727,196.9038636,-51.36966083,,Eridanus,F,main-sequence,0.6,3.25,4.53,8.64,6538,1.713
15772,196.5401436,-51.05284327,,Eridanus,F,main-sequence,0.45,2.81,6.42,7.57,6545,2.113
16780,198.6596687,-48.25506039,HR 1098,Eridanus,K,giants,0.915,0.25,89.46,5.572,5004,10.311
16291,197.5245493,-49.51758398,,Eridanus,F,main-sequence,0.475,3.03,5.23,8.34,6534,1.621
16402,197.4652423,-49.14491687,,Eridanus,K,giants,1.062,1.96,21.31,8.01,4832,8.47
16238,196.6050705,-49.37391965,,Eridanus,F,main-sequence,0.428,3.02,5.42,7.51,6851.2,1.622
16555,196.6543021,-48.29045514,,Eridanus,F,giants,0.407,1.06,31.48,7.34,6745,4.275
16677,196.6872959,-47.89613894,HR 1091,Eridanus,A,main-sequence,0.019,0.57,57,6.236,9268,2.614
17057,198.2790464,-47.14581784,HR 1117,Eridanus,G,giants,1.031,1,49.71,6.18,4762.3,10.975
17406,197.974671,-45.80742499,,Eridanus,K,giants,1.097,1.07,49.9,7.192,4813,11.186
17135,196.6382034,-46.29520485,,Eridanus,F,main-sequence,0.455,1.88,15.58,6.919,6502.8,3.602
16207,196.0022459,-49.28539059,,Eridanus,F,main-sequence,0.55,3.99,2.33,8.3,6138,1.244
16350,195.7747268,-48.66832972,,Eridanus,K,giants,1.315,0.45,114.22,6.834,4438,16.837
16537,195.8464908,-48.04927945,18 Epsilon Eridani,Eridanus,K,main-sequence,0.881,6.18,0.37,3.715,5065,0.755
16770,195.8708296,-47.23612273,,Eridanus,G,main-sequence,0.669,4.57,1.39,8.64,5738,1.095
16462,194.8459075,-47.90904212,,Eridanus,F,main-sequence,0.427,3.55,3.35,9.29,6610,1.479
16494,194.6492038,-47.72582285,,Eridanus,G,main-sequence,0.585,4.04,2.22,8.05,5946.3,1.269
16463,193.6182917,-47.39990451,,Eridanus,A,sub-giants,0.125,0.95,35.2,7.54,8926,2.519
16601,193.4238089,-46.83786132,,Eridanus,F,main-sequence,0.314,1.86,14.91,7.95,7300,2.476
16596,193.397023,-46.84067885,,Eridanus,A,main-sequence,0.378,1.52,20.52,7.59,6960,3.349
14755,194.4126312,-53.90052623,,Eridanus,F,main-sequence,0.44,4.23,1.72,9.51,6746,1.347
14781,193.7181883,-53.56995048,,Eridanus,K,giants,1.004,2.16,16.64,7.223,4862,5.172
15354,194.2418036,-51.71891878,,Eridanus,K,super-giants,0.93,1.49,28.82,7.018,5210,8.099
15002,192.658458,-52.45357846,,Eridanus,A,giants,0.277,2.6,7.81,8.46,7401,1.692
15084,192.4808841,-52.04301247,,Eridanus,F,main-sequence,0.456,3.05,5.34,7.68,6563.2,1.797
15197,191.57878,-51.30845852,13 Zeta Eridani (Zibal),Eridanus,A,giants,0.232,2.17,11.61,4.802,7572,1.995
15173,191.4463578,-51.34441438,,Eridanus,K,giants,1.154,0.76,70.76,6.608,4640,15.51
14583,191.8429738,-53.62936997,,Eridanus,G,main-sequence,0.57,4.5,1.41,9.65,6214,1.3
14684,191.274891,-52.99085826,,Eridanus,G,main-sequence,0.81,5.62,0.59,8.48,5436,0.839
14110,190.0324829,-54.80027828,HR 912,Eridanus,K,giants,1.092,0.82,62.48,5.825,4724.6,11.401
14449,189.1680387,-53.10442495,,Eridanus,F,main-sequence,0.591,2.39,9.79,8.22,6267.4,2.283
14740,190.7862303,-52.61326961,,Eridanus,G,main-sequence,0.56,4.46,1.46,9.43,6292,1.284
15053,190.8493967,-51.55280243,,Eridanus,F,main-sequence,0.5,2.94,5.78,8.45,6337,2.191
15759,193.4711387,-49.95260227,,Eridanus,G,sub-giants,0.614,4.51,1.42,9.27,5833,1.034
15776,191.8068387,-49.20165395,Gliese 2030 A,Eridanus,G,main-sequence,0.702,3.35,4.38,6.209,5485,2.241
15659,191.0895964,-49.37638849,,Eridanus,A,super-giants,0.342,2.96,5.42,8.95,6983,1.957
16065,192.7875441,-48.54839774,,Eridanus,K,giants,1.226,1.1,55.76,7.66,4562,11.301
16288,192.1459447,-47.37812911,,Eridanus,F,main-sequence,0.468,2.93,5.72,9.03,6472,1.895
15962,190.8802041,-48.13604504,,Eridanus,K,main-sequence,0.94,6.21,0.38,9.54,4920,0.765
15929,190.8594437,-48.22886119,,Eridanus,F,main-sequence,0.503,4.15,1.94,8.44,6491.5,1.115
16266,191.8583398,-47.3406436,HR 1060,Eridanus,K,giants,1.02,0.64,68.66,5.989,4914.3,10.874
16169,191.2569226,-47.46018211,,Eridanus,G,main-sequence,0.619,4.88,1.01,8.23,5668.4,1.024
15213,190.4524309,-50.76061576,,Eridanus,K,giants,1.238,1.48,39.88,7.37,4615,9.34
15049,188.3284366,-50.4894245,,Eridanus,F,main-sequence,0.441,2.78,6.7,7.74,6728.7,1.628
15093,188.5551715,-50.35167268,,Eridanus,K,giants,1.112,0.56,81.46,7.167,4811,10.341
15806,189.6352092,-48.13816371,,Eridanus,G,main-sequence,0.617,4.12,2.04,9.29,5945,1.136
15919,189.1341216,-47.4876951,Gliese 141.0 (Lalande 6320),Eridanus,K,main-sequence,1.153,6.92,0.24,7.86,4567.9,0.674
15694,188.2601726,-47.92784157,,Eridanus,K,giants,1.076,1.22,42.47,7.81,4836,11.034
12386,189.6586321,-61.25098928,,Cetus,F,main-sequence,0.441,2.84,6.57,8.19,6767.4,1.655
12341,188.9295489,-61.18077302,,Cetus,F,main-sequence,0.549,4.01,2.19,8.59,6250.8,1.199
12260,188.8513673,-61.46775361,,Cetus,F,main-sequence,0.588,2.58,8.41,7.72,6071.5,2.517
12849,189.2188476,-59.43830367,,Eridanus,A,main-sequence,0.297,1.45,22.39,8.44,7227,2.637
12374,186.912018,-60.39804883,,Cetus,F,sub-giants,0.471,2.01,13.45,7.89,6536,2.336
12809,187.986954,-59.185598,,Cetus,F,main-sequence,0.471,2.81,6.41,8.91,6584,2.781
11952,186.4952558,-61.78362715,,Cetus,F,main-sequence,0.437,4.59,1.45,9.77,6093.2,1.119
11927,186.3365188,-61.80843432,,Cetus,F,sub-giants,0.333,2.35,9.51,6.891,6959,3.421
11861,185.5390613,-61.79486112,,Cetus,G,main-sequence,0.66,4.54,1.43,9.35,5694.6,1.163
11694,185.1924909,-62.35527468,,Cetus,F,main-sequence,0.519,3.2,4.54,8.35,6261,2.436
11835,184.4333915,-61.47891077,,Cetus,K,giants,1.234,0.34,113.48,7.37,4536,20.366
12279,185.991381,-60.40930526,,Cetus,G,giants,0.981,2.26,14.91,8.15,4933,9.053
12118,184.6273426,-60.53383901,,Cetus,G,main-sequence,0.641,4.94,0.98,9.78,5773.9,1.252
11839,183.1727478,-60.9993855,,Cetus,F,main-sequence,0.53,3.73,2.81,8.77,6349,1.244
13236,189.5609811,-58.03349645,,Eridanus,G,main-sequence,0.601,3.34,4.17,8.65,5836,1.889
12882,186.9974778,-58.53231801,,Eridanus,F,main-sequence,0.407,2.55,8.01,9.05,6789,2.378
13520,188.8316569,-56.66407162,,Eridanus,F,sub-giants,0.435,1.49,22.05,6.943,6519.4,3.204
13883,189.0077579,-55.33929608,HR 895,Eridanus,A,super-giants,0.221,1.37,23.61,6.14,7621,2.732
13655,187.78496,-55.74272544,,Eridanus,F,main-sequence,0.386,2.61,7.98,8.76,6824,2.354
13421,187.0202568,-56.34624777,HR 859,Eridanus,A,main-sequence,0.196,1.37,23.58,6.327,7749.2,2.57
13182,186.2933083,-57.03910964,,Eridanus,F,main-sequence,0.562,3.24,4.47,8.54,6217,1.838
13701,187.1549787,-55.31110087,3 Eta Eridani (Azha),Eridanus,K,giants,1.088,0.78,64.25,3.884,4706.5,10.861
13467,186.3185302,-55.87562743,,Eridanus,G,sub-giants,0.704,2.52,9.42,7.89,5639.1,3.313
12660,185.7255884,-58.93794772,,Cetus,G,main-sequence,0.65,3.7,3.08,8.98,6091,2.217
12363,183.8071572,-59.28273018,,Cetus,K,giants,1.008,1.06,45.73,6.641,4915,10.744
12444,183.5403018,-58.84390806,Gliese 3175 (HR 784),Cetus,F,main-sequence,0.524,4.1,2.07,5.79,6300.5,1.157
13032,184.9299758,-57.14475677,,Eridanus,K,giants,1.061,1.97,21.04,8.15,4799,10.199
13345,185.0406497,-55.86716225,,Eridanus,K,main-sequence,1.216,7.4,0.17,9.82,4413,0.704
12947,183.2673406,-56.73460142,,Eridanus,K,giants,0.907,2.39,12.26,8.21,4980,4.293
11543,183.0379872,-62.22486871,,Cetus,F,main-sequence,0.427,2.97,5.65,7.054,6682.3,1.674
11029,179.7891833,-63.14415042,HR 692,Cetus,F,main-sequence,0.364,3.07,5.1,5.423,6894.5,1.531
11331,180.8580336,-62.33355312,,Cetus,F,main-sequence,0.321,2.96,5.43,7.97,7083,1.573
11340,179.7011756,-61.85140546,,Cetus,F,main-sequence,0.549,3.12,4.95,8.24,6188,2.38
11865,182.7786934,-60.77649452,,Cetus,K,main-sequence,0.99,6.52,0.3,9.78,4884,0.744
12055,181.9336277,-59.70330526,,Cetus,A,main-sequence,0.015,1.51,23.89,7.106,9921,1.797
11449,180.1608445,-61.44947832,,Cetus,F,main-sequence,0.502,4.17,1.86,8.6,6283,1.283
11277,178.9890348,-61.77708847,,Cetus,F,main-sequence,0.364,2.48,8.47,8.51,7010,2.404
11012,177.4511034,-62.25414948,,Cetus,G,giants,1.018,2.17,16.65,8.6,4913,10.333
10584,176.0873748,-63.55246518,,Cetus,G,main-sequence,0.623,3.5,3.64,6.91,5863,1.881
11343,178.670982,-61.40535704,,Cetus,K,giants,1.086,1.97,21.48,7.86,4806,10.86
